name_complet,email,match_query,match_result,score,match_result_values,destTable,sourceTable
Elizabeth Marshall,user113@example.com,"{'first_name': 'Elizabeth', 'last_name': 'Marshall', 'email': 'user113@example.com'}","{'first_name': 'Nicholas', 'last_name': 'Marshall', 'email': 'user41@example.com'}",80.65182829888712%,"{'nombre': 'Nicholas', 'apellido': 'Marshall', 'email': 'user41@example.com'}",Clientes,Usuarios
Nathaniel Rios,user115@example.com,"{'first_name': 'Nathaniel', 'last_name': 'Rios', 'email': 'user115@example.com'}","{'first_name': 'Gail', 'last_name': 'Harris', 'email': 'user13@example.com'}",73.17671517671518%,"{'nombre': 'Gail', 'apellido': 'Harris', 'email': 'user13@example.com'}",Clientes,Usuarios
Jaime Carroll,user117@example.com,"{'first_name': 'Jaime', 'last_name': 'Carroll', 'email': 'user117@example.com'}","{'first_name': 'Daniel', 'last_name': 'Harrison', 'email': 'user48@example.com'}",70.15233415233415%,"{'nombre': 'Daniel', 'apellido': 'Harrison', 'email': 'user48@example.com'}",Clientes,Usuarios
Jay Wiley,user118@example.com,"{'first_name': 'Jay', 'last_name': 'Wiley', 'email': 'user118@example.com'}","{'first_name': 'Joyce', 'last_name': 'Bailey', 'email': 'user30@example.com'}",75.06142506142506%,"{'nombre': 'Joyce', 'apellido': 'Bailey', 'email': 'user30@example.com'}",Clientes,Usuarios
Steven Harper,user119@example.com,"{'first_name': 'Steven', 'last_name': 'Harper', 'email': 'user119@example.com'}","{'first_name': 'Steven', 'last_name': 'Parsons', 'email': 'user24@example.com'}",72.47401247401247%,"{'nombre': 'Steven', 'apellido': 'Parsons', 'email': 'user24@example.com'}",Clientes,Usuarios
Mary Doyle,user120@example.com,"{'first_name': 'Mary', 'last_name': 'Doyle', 'email': 'user120@example.com'}","{'first_name': 'Mary', 'last_name': 'Pollard', 'email': 'user12@example.com'}",78.64864864864865%,"{'nombre': 'Mary', 'apellido': 'Pollard', 'email': 'user12@example.com'}",Clientes,Usuarios
David Bell,user123@example.com,"{'first_name': 'David', 'last_name': 'Bell', 'email': 'user123@example.com'}","{'first_name': 'Dustin', 'last_name': 'Bell', 'email': 'dustin.bell113@example.com'}",75.05050505050505%,"{'nombre': 'Dustin', 'apellido': 'Bell', 'email': 'dustin.bell113@example.com'}",Clientes,Usuarios
Amanda Erickson,user124@example.com,"{'first_name': 'Amanda', 'last_name': 'Erickson', 'email': 'user124@example.com'}","{'first_name': 'Daniel', 'last_name': 'Harrison', 'email': 'user48@example.com'}",71.36261261261261%,"{'nombre': 'Daniel', 'apellido': 'Harrison', 'email': 'user48@example.com'}",Clientes,Usuarios
Jacob Casey,user125@example.com,"{'first_name': 'Jacob', 'last_name': 'Casey', 'email': 'user125@example.com'}","{'first_name': 'Jacob', 'last_name': 'Williams', 'email': 'user36@example.com'}",72.47401247401247%,"{'nombre': 'Jacob', 'apellido': 'Williams', 'email': 'user36@example.com'}",Clientes,Usuarios
Joseph Hogan,user127@example.com,"{'first_name': 'Joseph', 'last_name': 'Hogan', 'email': 'user127@example.com'}","{'first_name': 'Michelle', 'last_name': 'Logan', 'email': 'user11@example.com'}",72.8030888030888%,"{'nombre': 'Michelle', 'apellido': 'Logan', 'email': 'user11@example.com'}",Clientes,Usuarios
Eduardo Smith,user128@example.com,"{'first_name': 'Eduardo', 'last_name': 'Smith', 'email': 'user128@example.com'}","{'first_name': 'Karen', 'last_name': 'Smith', 'email': 'user38@example.com'}",82.61261261261261%,"{'nombre': 'Karen', 'apellido': 'Smith', 'email': 'user38@example.com'}",Clientes,Usuarios
Courtney Jones,user131@example.com,"{'first_name': 'Courtney', 'last_name': 'Jones', 'email': 'user131@example.com'}","{'first_name': 'Kimberly', 'last_name': 'Johnson', 'email': 'user33@example.com'}",70.94594594594594%,"{'nombre': 'Kimberly', 'apellido': 'Johnson', 'email': 'user33@example.com'}",Clientes,Usuarios
Sue Gentry,user134@example.com,"{'first_name': 'Sue', 'last_name': 'Gentry', 'email': 'user134@example.com'}","{'first_name': 'Lauren', 'last_name': 'Fletcher', 'email': 'user14@example.com'}",70.3946803946804%,"{'nombre': 'Lauren', 'apellido': 'Fletcher', 'email': 'user14@example.com'}",Clientes,Usuarios
Kimberly Ross,user136@example.com,"{'first_name': 'Kimberly', 'last_name': 'Ross', 'email': 'user136@example.com'}","{'first_name': 'Kimberly', 'last_name': 'Johnson', 'email': 'user33@example.com'}",76.85503685503686%,"{'nombre': 'Kimberly', 'apellido': 'Johnson', 'email': 'user33@example.com'}",Clientes,Usuarios
Beth Smith,user138@example.com,"{'first_name': 'Beth', 'last_name': 'Smith', 'email': 'user138@example.com'}","{'first_name': 'Elizabeth', 'last_name': 'Smith', 'email': 'user34@example.com'}",88.25363825363824%,"{'nombre': 'Elizabeth', 'apellido': 'Smith', 'email': 'user34@example.com'}",Clientes,Usuarios
Theresa Johnson,user140@example.com,"{'first_name': 'Theresa', 'last_name': 'Johnson', 'email': 'user140@example.com'}","{'first_name': 'Kimberly', 'last_name': 'Johnson', 'email': 'user33@example.com'}",78.57657657657657%,"{'nombre': 'Kimberly', 'apellido': 'Johnson', 'email': 'user33@example.com'}",Clientes,Usuarios
Andrew Larson,user141@example.com,"{'first_name': 'Andrew', 'last_name': 'Larson', 'email': 'user141@example.com'}","{'first_name': 'Daniel', 'last_name': 'Harrison', 'email': 'user48@example.com'}",77.37451737451737%,"{'nombre': 'Daniel', 'apellido': 'Harrison', 'email': 'user48@example.com'}",Clientes,Usuarios
Terry Gonzalez,user142@example.com,"{'first_name': 'Terry', 'last_name': 'Gonzalez', 'email': 'user142@example.com'}","{'first_name': 'April', 'last_name': 'Gonzalez', 'email': 'user8@example.com'}",78.44444444444444%,"{'nombre': 'April', 'apellido': 'Gonzalez', 'email': 'user8@example.com'}",Clientes,Usuarios
Mary Brown,user144@example.com,"{'first_name': 'Mary', 'last_name': 'Brown', 'email': 'user144@example.com'}","{'first_name': 'Gerald', 'last_name': 'Brown', 'email': 'user27@example.com'}",77.24324324324324%,"{'nombre': 'Gerald', 'apellido': 'Brown', 'email': 'user27@example.com'}",Clientes,Usuarios
Nicholas Lee,user146@example.com,"{'first_name': 'Nicholas', 'last_name': 'Lee', 'email': 'user146@example.com'}","{'first_name': 'Nicholas', 'last_name': 'Marshall', 'email': 'user41@example.com'}",71.4004914004914%,"{'nombre': 'Nicholas', 'apellido': 'Marshall', 'email': 'user41@example.com'}",Clientes,Usuarios
Michael Morris,user147@example.com,"{'first_name': 'Michael', 'last_name': 'Morris', 'email': 'user147@example.com'}","{'first_name': 'Michael', 'last_name': 'Robinson', 'email': 'user47@example.com'}",81.5057915057915%,"{'nombre': 'Michael', 'apellido': 'Robinson', 'email': 'user47@example.com'}",Clientes,Usuarios
Craig Wilson,user148@example.com,"{'first_name': 'Craig', 'last_name': 'Wilson', 'email': 'user148@example.com'}","{'first_name': 'Daniel', 'last_name': 'Harrison', 'email': 'user48@example.com'}",73.06423306423306%,"{'nombre': 'Daniel', 'apellido': 'Harrison', 'email': 'user48@example.com'}",Clientes,Usuarios
Philip Collins,user149@example.com,"{'first_name': 'Philip', 'last_name': 'Collins', 'email': 'user149@example.com'}","{'first_name': 'Colton', 'last_name': 'Collins', 'email': 'user9@example.com'}",80.55555555555556%,"{'nombre': 'Colton', 'apellido': 'Collins', 'email': 'user9@example.com'}",Clientes,Usuarios
Tonya Sanchez,user150@example.com,"{'first_name': 'Tonya', 'last_name': 'Sanchez', 'email': 'user150@example.com'}","{'first_name': 'Anthony', 'last_name': 'Hernandez', 'email': 'user39@example.com'}",71.57657657657657%,"{'nombre': 'Anthony', 'apellido': 'Hernandez', 'email': 'user39@example.com'}",Clientes,Usuarios
Adrian Jones,user151@example.com,"{'first_name': 'Adrian', 'last_name': 'Jones', 'email': 'user151@example.com'}","{'first_name': 'Adrian', 'last_name': 'Richards', 'email': 'user25@example.com'}",70.56133056133055%,"{'nombre': 'Adrian', 'apellido': 'Richards', 'email': 'user25@example.com'}",Clientes,Usuarios
Logan Nguyen,user153@example.com,"{'first_name': 'Logan', 'last_name': 'Nguyen', 'email': 'user153@example.com'}","{'first_name': 'Bradley', 'last_name': 'Nguyen', 'email': 'user52@example.com'}",79.27927927927928%,"{'nombre': 'Bradley', 'apellido': 'Nguyen', 'email': 'user52@example.com'}",Clientes,Usuarios
April Wiley,user156@example.com,"{'first_name': 'April', 'last_name': 'Wiley', 'email': 'user156@example.com'}","{'first_name': 'April', 'last_name': 'Gonzalez', 'email': 'user8@example.com'}",73.67521367521367%,"{'nombre': 'April', 'apellido': 'Gonzalez', 'email': 'user8@example.com'}",Clientes,Usuarios
Ronnie Chandler,user158@example.com,"{'first_name': 'Ronnie', 'last_name': 'Chandler', 'email': 'user158@example.com'}","{'first_name': 'Roberto', 'last_name': 'Chang', 'email': 'user37@example.com'}",70.93555093555094%,"{'nombre': 'Roberto', 'apellido': 'Chang', 'email': 'user37@example.com'}",Clientes,Usuarios
Douglas Brewer,user159@example.com,"{'first_name': 'Douglas', 'last_name': 'Brewer', 'email': 'user159@example.com'}","{'first_name': 'Douglas', 'last_name': 'Williams', 'email': 'user16@example.com'}",70.23166023166023%,"{'nombre': 'Douglas', 'apellido': 'Williams', 'email': 'user16@example.com'}",Clientes,Usuarios
Christopher Mcdonald,user160@example.com,"{'first_name': 'Christopher', 'last_name': 'Mcdonald', 'email': 'user160@example.com'}","{'first_name': 'Christopher', 'last_name': 'Bowen', 'email': 'user42@example.com'}",72.47401247401247%,"{'nombre': 'Christopher', 'apellido': 'Bowen', 'email': 'user42@example.com'}",Clientes,Usuarios
Herbert Jimenez,user162@example.com,"{'first_name': 'Herbert', 'last_name': 'Jimenez', 'email': 'user162@example.com'}","{'first_name': 'Christopher', 'last_name': 'Jensen', 'email': 'user18@example.com'}",73.29637329637329%,"{'nombre': 'Christopher', 'apellido': 'Jensen', 'email': 'user18@example.com'}",Clientes,Usuarios
Adrian Smith,user163@example.com,"{'first_name': 'Adrian', 'last_name': 'Smith', 'email': 'user163@example.com'}","{'first_name': 'Karen', 'last_name': 'Smith', 'email': 'user38@example.com'}",86.85503685503684%,"{'nombre': 'Karen', 'apellido': 'Smith', 'email': 'user38@example.com'}",Clientes,Usuarios
Matthew Hansen,user164@example.com,"{'first_name': 'Matthew', 'last_name': 'Hansen', 'email': 'user164@example.com'}","{'first_name': 'Christopher', 'last_name': 'Jensen', 'email': 'user18@example.com'}",72.61261261261261%,"{'nombre': 'Christopher', 'apellido': 'Jensen', 'email': 'user18@example.com'}",Clientes,Usuarios
Rebecca Boyd,user166@example.com,"{'first_name': 'Rebecca', 'last_name': 'Boyd', 'email': 'user166@example.com'}","{'first_name': 'Denise', 'last_name': 'Byrd', 'email': 'user46@example.com'}",74.5997920997921%,"{'nombre': 'Denise', 'apellido': 'Byrd', 'email': 'user46@example.com'}",Clientes,Usuarios
Michael Cochran,user167@example.com,"{'first_name': 'Michael', 'last_name': 'Cochran', 'email': 'user167@example.com'}","{'first_name': 'Michelle', 'last_name': 'Logan', 'email': 'user11@example.com'}",76.94594594594594%,"{'nombre': 'Michelle', 'apellido': 'Logan', 'email': 'user11@example.com'}",Clientes,Usuarios
Daisy Thompson,user168@example.com,"{'first_name': 'Daisy', 'last_name': 'Thompson', 'email': 'user168@example.com'}","{'first_name': 'Nicole', 'last_name': 'Thompson', 'email': 'user43@example.com'}",76.87960687960688%,"{'nombre': 'Nicole', 'apellido': 'Thompson', 'email': 'user43@example.com'}",Clientes,Usuarios
Angela Mills,user171@example.com,"{'first_name': 'Angela', 'last_name': 'Mills', 'email': 'user171@example.com'}","{'first_name': 'Daniel', 'last_name': 'Smith', 'email': 'user17@example.com'}",73.98198198198199%,"{'nombre': 'Daniel', 'apellido': 'Smith', 'email': 'user17@example.com'}",Clientes,Usuarios
Diane White,user176@example.com,"{'first_name': 'Diane', 'last_name': 'White', 'email': 'user176@example.com'}","{'first_name': 'Daniel', 'last_name': 'Smith', 'email': 'user17@example.com'}",75.19410319410319%,"{'nombre': 'Daniel', 'apellido': 'Smith', 'email': 'user17@example.com'}",Clientes,Usuarios
Christopher Williams,user177@example.com,"{'first_name': 'Christopher', 'last_name': 'Williams', 'email': 'user177@example.com'}","{'first_name': 'Jacob', 'last_name': 'Williams', 'email': 'user36@example.com'}",78.24324324324324%,"{'nombre': 'Jacob', 'apellido': 'Williams', 'email': 'user36@example.com'}",Clientes,Usuarios
Jack Perkins,user180@example.com,"{'first_name': 'Jack', 'last_name': 'Perkins', 'email': 'user180@example.com'}","{'first_name': 'Paul', 'last_name': 'Perkins', 'email': 'user54@example.com'}",78.24324324324324%,"{'nombre': 'Paul', 'apellido': 'Perkins', 'email': 'user54@example.com'}",Clientes,Usuarios
Luke Torres,user181@example.com,"{'first_name': 'Luke', 'last_name': 'Torres', 'email': 'user181@example.com'}","{'first_name': 'Stephanie', 'last_name': 'Torres', 'email': 'user50@example.com'}",76.32016632016632%,"{'nombre': 'Stephanie', 'apellido': 'Torres', 'email': 'user50@example.com'}",Clientes,Usuarios
Joseph Gordon,user182@example.com,"{'first_name': 'Joseph', 'last_name': 'Gordon', 'email': 'user182@example.com'}","{'first_name': 'Joseph', 'last_name': 'Moreno', 'email': 'joseph.moreno108@example.com'}",71.17021276595744%,"{'nombre': 'Joseph', 'apellido': 'Moreno', 'email': 'joseph.moreno108@example.com'}",Clientes,Usuarios
Julia Williams,user184@example.com,"{'first_name': 'Julia', 'last_name': 'Williams', 'email': 'user184@example.com'}","{'first_name': 'Douglas', 'last_name': 'Williams', 'email': 'user16@example.com'}",85.94594594594594%,"{'nombre': 'Douglas', 'apellido': 'Williams', 'email': 'user16@example.com'}",Clientes,Usuarios
Heather Simon,user186@example.com,"{'first_name': 'Heather', 'last_name': 'Simon', 'email': 'user186@example.com'}","{'first_name': 'Christopher', 'last_name': 'Jensen', 'email': 'user18@example.com'}",70.66885066885068%,"{'nombre': 'Christopher', 'apellido': 'Jensen', 'email': 'user18@example.com'}",Clientes,Usuarios
Timothy Chaney,user187@example.com,"{'first_name': 'Timothy', 'last_name': 'Chaney', 'email': 'user187@example.com'}","{'first_name': 'Roberto', 'last_name': 'Chang', 'email': 'user37@example.com'}",73.47841347841347%,"{'nombre': 'Roberto', 'apellido': 'Chang', 'email': 'user37@example.com'}",Clientes,Usuarios
Shannon Hanson,user189@example.com,"{'first_name': 'Shannon', 'last_name': 'Hanson', 'email': 'user189@example.com'}","{'first_name': 'Daniel', 'last_name': 'Harrison', 'email': 'user48@example.com'}",73.52836352836353%,"{'nombre': 'Daniel', 'apellido': 'Harrison', 'email': 'user48@example.com'}",Clientes,Usuarios
Hannah Reed,user190@example.com,"{'first_name': 'Hannah', 'last_name': 'Reed', 'email': 'user190@example.com'}","{'first_name': 'Anna', 'last_name': 'Russell', 'email': 'user44@example.com'}",70.15233415233415%,"{'nombre': 'Anna', 'apellido': 'Russell', 'email': 'user44@example.com'}",Clientes,Usuarios
Alec Raymond,user191@example.com,"{'first_name': 'Alec', 'last_name': 'Raymond', 'email': 'user191@example.com'}","{'first_name': 'Haley', 'last_name': 'Rodriguez', 'email': 'user19@example.com'}",73.23198198198199%,"{'nombre': 'Haley', 'apellido': 'Rodriguez', 'email': 'user19@example.com'}",Clientes,Usuarios
April Hansen,user193@example.com,"{'first_name': 'April', 'last_name': 'Hansen', 'email': 'user193@example.com'}","{'first_name': 'Gail', 'last_name': 'Harris', 'email': 'user13@example.com'}",76.98198198198199%,"{'nombre': 'Gail', 'apellido': 'Harris', 'email': 'user13@example.com'}",Clientes,Usuarios
Andrew Hall,user195@example.com,"{'first_name': 'Andrew', 'last_name': 'Hall', 'email': 'user195@example.com'}","{'first_name': 'Kristin', 'last_name': 'Hall', 'email': 'user26@example.com'}",76.32016632016632%,"{'nombre': 'Kristin', 'apellido': 'Hall', 'email': 'user26@example.com'}",Clientes,Usuarios
Andrew Rodriguez,user196@example.com,"{'first_name': 'Andrew', 'last_name': 'Rodriguez', 'email': 'user196@example.com'}","{'first_name': 'Haley', 'last_name': 'Rodriguez', 'email': 'user19@example.com'}",85.92137592137593%,"{'nombre': 'Haley', 'apellido': 'Rodriguez', 'email': 'user19@example.com'}",Clientes,Usuarios
Susan Green,user199@example.com,"{'first_name': 'Susan', 'last_name': 'Green', 'email': 'user199@example.com'}","{'first_name': 'Susan', 'last_name': 'Freeman', 'email': 'user28@example.com'}",83.24324324324324%,"{'nombre': 'Susan', 'apellido': 'Freeman', 'email': 'user28@example.com'}",Clientes,Usuarios
